project,commit_hash,code_change_old_path,code_change_new_path,config_change_old_path,config_change_new_path,label
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\clients\admin\KafkaAdminClient.java,clients\src\main\java\org\apache\kafka\clients\admin\KafkaAdminClient.java,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 0}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\clients\admin\KafkaAdminClient.java,clients\src\main\java\org\apache\kafka\clients\admin\KafkaAdminClient.java,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsRequest.java,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsRequest.java,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,"{""chunk 1"": 1, ""chunk 2"": 0, ""chunk 3"": 0}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsRequest.java,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsRequest.java,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsResponse.java,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsResponse.java,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 0}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsResponse.java,clients\src\main\java\org\apache\kafka\common\requests\DescribeLogDirsResponse.java,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\test\java\org\apache\kafka\clients\admin\KafkaAdminClientTest.java,clients\src\test\java\org\apache\kafka\clients\admin\KafkaAdminClientTest.java,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 0}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\test\java\org\apache\kafka\clients\admin\KafkaAdminClientTest.java,clients\src\test\java\org\apache\kafka\clients\admin\KafkaAdminClientTest.java,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\test\java\org\apache\kafka\common\requests\RequestResponseTest.java,clients\src\test\java\org\apache\kafka\common\requests\RequestResponseTest.java,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,clients\src\main\resources\common\message\DescribeLogDirsRequest.json,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 0}"
kafka,31fca1611a6780e8a8aa3ac21618135201718e32,clients\src\test\java\org\apache\kafka\common\requests\RequestResponseTest.java,clients\src\test\java\org\apache\kafka\common\requests\RequestResponseTest.java,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,clients\src\main\resources\common\message\DescribeLogDirsResponse.json,"{""chunk 1"": 1, ""chunk 2"": 0, ""chunk 3"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,checkstyle\import-control-core.xml,checkstyle\import-control-core.xml,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,checkstyle\import-control.xml,checkstyle\import-control.xml,"{""chunk 1"": 0, ""chunk 2"": 0, ""chunk 3"": 0, ""chunk 4"": 1, ""chunk 5"": 1, ""chunk 6"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,checkstyle\suppressions.xml,checkstyle\suppressions.xml,"{""chunk 1"": 0, ""chunk 2"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,checkstyle\import-control-core.xml,checkstyle\import-control-core.xml,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,checkstyle\import-control.xml,checkstyle\import-control.xml,"{""chunk 1"": 0, ""chunk 2"": 0, ""chunk 3"": 0, ""chunk 4"": 1, ""chunk 5"": 1, ""chunk 6"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,checkstyle\suppressions.xml,checkstyle\suppressions.xml,"{""chunk 1"": 0, ""chunk 2"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,checkstyle\import-control-core.xml,checkstyle\import-control-core.xml,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,checkstyle\import-control.xml,checkstyle\import-control.xml,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1, ""chunk 4"": 1, ""chunk 5"": 1, ""chunk 6"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,checkstyle\suppressions.xml,checkstyle\suppressions.xml,"{""chunk 1"": 0, ""chunk 2"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\import-control-core.xml,checkstyle\import-control-core.xml,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\import-control.xml,checkstyle\import-control.xml,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1, ""chunk 4"": 1, ""chunk 5"": 0, ""chunk 6"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\suppressions.xml,checkstyle\suppressions.xml,"{""chunk 1"": 0, ""chunk 2"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,metadata\src\main\java\org\apache\kafka\controller\Controller.java,metadata\src\main\java\org\apache\kafka\controller\Controller.java,checkstyle\import-control-core.xml,checkstyle\import-control-core.xml,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,metadata\src\main\java\org\apache\kafka\controller\Controller.java,metadata\src\main\java\org\apache\kafka\controller\Controller.java,checkstyle\import-control.xml,checkstyle\import-control.xml,"{""chunk 1"": 0, ""chunk 2"": 0, ""chunk 3"": 1, ""chunk 4"": 0, ""chunk 5"": 0, ""chunk 6"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,metadata\src\main\java\org\apache\kafka\controller\Controller.java,metadata\src\main\java\org\apache\kafka\controller\Controller.java,checkstyle\suppressions.xml,checkstyle\suppressions.xml,"{""chunk 1"": 0, ""chunk 2"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\import-control-core.xml,checkstyle\import-control-core.xml,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\import-control.xml,checkstyle\import-control.xml,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1, ""chunk 4"": 1, ""chunk 5"": 1, ""chunk 6"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\suppressions.xml,checkstyle\suppressions.xml,"{""chunk 1"": 0, ""chunk 2"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\import-control-core.xml,checkstyle\import-control-core.xml,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\import-control.xml,checkstyle\import-control.xml,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1, ""chunk 4"": 1, ""chunk 5"": 0, ""chunk 6"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\suppressions.xml,checkstyle\suppressions.xml,"{""chunk 1"": 0, ""chunk 2"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,clients\src\main\java\org\apache\kafka\server\authorizer\Action.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,clients\src\main\java\org\apache\kafka\server\authorizer\Authorizer.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,,metadata\src\main\resources\common\metadata\AccessControlEntryRecord.json,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,core\src\test\java\kafka\test\MockController.java,core\src\test\java\kafka\test\MockController.java,,metadata\src\main\resources\common\metadata\RemoveAccessControlEntryRecord.json,"{""chunk 1"": 0}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\import-control-core.xml,checkstyle\import-control-core.xml,"{""chunk 1"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\import-control.xml,checkstyle\import-control.xml,"{""chunk 1"": 1, ""chunk 2"": 1, ""chunk 3"": 1, ""chunk 4"": 1, ""chunk 5"": 0, ""chunk 6"": 1}"
kafka,d35283f011a797902fc9c4d896a1a6f039eb7d06,,metadata\src\main\java\org\apache\kafka\controller\AclControlManager.java,checkstyle\suppressions.xml,checkstyle\suppressions.xml,"{""chunk 1"": 0, ""chunk 2"": 0}"
skywalking,4b0504fd5dacd031afcad7ca43f0812e488c6c4d,oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\source\Event.java,oap-server\server-core\src\main\java\org\apache\skywalking\oap\server\core\source\Event.java,codeStyle.xml,codeStyle.xml,"{""chunk 1"": 1, ""chunk 2"": 0, ""chunk 3"": 0, ""chunk 4"": 0}"
rocketmq,7a5d937c76c2b99e65a18388f9c3acb3d80afd16,acl\src\main\java\org\apache\rocketmq\acl\plain\PlainPermissionManager.java,acl\src\main\java\org\apache\rocketmq\acl\plain\PlainPermissionManager.java,None,acl\src\test\resources\both_acl_file_folder_conf\conf\acl\plain_acl.yml,"{""chunk 1"": 1}"
rocketmq,7a5d937c76c2b99e65a18388f9c3acb3d80afd16,acl\src\main\java\org\apache\rocketmq\acl\plain\PlainPermissionManager.java,acl\src\main\java\org\apache\rocketmq\acl\plain\PlainPermissionManager.java,None,acl\src\test\resources\both_acl_file_folder_conf\conf\plain_acl.yml,"{""chunk 1"": 1}"
rocketmq,7a5d937c76c2b99e65a18388f9c3acb3d80afd16,acl\src\main\java\org\apache\rocketmq\acl\plain\PlainPermissionManager.java,acl\src\main\java\org\apache\rocketmq\acl\plain\PlainPermissionManager.java,None,acl\src\test\resources\empty_acl_folder_conf\conf\plain_acl.yml,"{""chunk 1"": 1}"
rocketmq,7a5d937c76c2b99e65a18388f9c3acb3d80afd16,acl\src\main\java\org\apache\rocketmq\acl\plain\PlainPermissionManager.java,acl\src\main\java\org\apache\rocketmq\acl\plain\PlainPermissionManager.java,None,acl\src\test\resources\only_acl_folder_conf\conf\acl\plain_acl.yml,"{""chunk 1"": 1}"
rocketmq,7a5d937c76c2b99e65a18388f9c3acb3d80afd16,acl\src\main\java\org\apache\rocketmq\acl\plain\PlainPermissionManager.java,acl\src\main\java\org\apache\rocketmq\acl\plain\PlainPermissionManager.java,distribution\conf\acl\plain_acl.yml,distribution\conf\plain_acl.yml,{}
